CompanyName,Name,City,E_Province,Latitude,Longitude,E_NAIC_Name,CO2_eq,E_Units,Symbol,Report_Year,E_DetailPageURL
Teine Energy Ltd.,Kerrobert 4-17-33-24 W3,Oakdale,Saskatchewan,51.825249999999997,-109.379739999999998,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112108&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Torxen Energy Ltd.,Princess East Comp Stn 13-36-019-11W4,,Alberta,50.657550000000001,-111.409329999999997,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111292&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
NuVista Energy Ltd.,Wembley Comp Station 06-27,,Alberta,55.176110000000001,-119.298060000000007,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111631&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Société en commandite Boralex Énergie,Centrale de Dolbeau,Dolbeau Mistassini,Quebec,0.000000000000000,0.000000000000000,Other Electric Power Generation,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110701&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Black Swan Energy,Aitken Comp Stn a-011-A,Not Applicable,British Columbia,57.010420000000003,-122.003119999999996,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112030&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Produits forestiers Résolu,PFR Baie-Comeau,Baie Comeau,Quebec,49.255000000000003,-68.155829999999995,Newsprint Mills,,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111237&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
ARC RESOURCES LTD.,Cutbank 10-10-065-05 W6M,Cutbank,Alberta,54.612450000000003,-118.664379999999994,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111508&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Canlin Energy Corporation,TALISMAN LOVETT RIVER 2-20,,Alberta,53.062950000000001,-116.740319999999997,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111686&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Baytex Energy Ltd,04-33-032-25W3,,Saskatchewan,51.781390000000002,-109.492249999999999,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0112070&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Tourmaline Oil Corp,Tourmaline Musreau 02/09-13-062-06-W6,Grande Cache,Alberta,54.362360000000002,-118.753709999999998,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0110825&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
Husky Oil Operations Limited,Ansell Compressor Station 03-06-049-18W5,Yellowhead County,Alberta,53.194139999999997,-116.625219999999999,Oil and gas extraction (except oil sands),,kilotonnes of carbon dioxide equivalents (kt CO2 eq),0,2022,<a href=""https://indicators-map.canada.ca/App/Detail?id=0111364&GoCTemplateCulture=en-CA"" target=""_blank"">More information</a>
